Código Dane departamento,Departamento,Código Dane municipio,Municipio,Grupo cultivo,Subgrupo,Cultivo,Desagregación cultivo,Año,Periodo,Ciclo del cultivo,Área sembrada,Área cosechada,Producción,Rendimiento,Código del cultivo,area_sembrada_num,area_cosechada_num,diferencia_ha,ratio_cosechada_sembrada
05,Antioquia,05040,Anorí,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"17,00","67,00","50,25","0,75",1010402,17.0,67.0,50.0,3.9411764705882355
05,Antioquia,05040,Anorí,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"25,00","69,00","51,75","0,75",1010402,25.0,69.0,44.0,2.76
05,Antioquia,05040,Anorí,Cereales,Cereales,Maíz,Maíz blanco tradicional,2023,2023B,Transitorio,"10,00","18,00","13,50","0,75",1010404,10.0,18.0,8.0,1.8
05,Antioquia,05040,Anorí,Cereales,Cereales,Maíz,Maíz blanco tradicional,2024,2024B,Transitorio,"0,00","12,00","9,00","0,75",1010404,0.0,12.0,12.0,inf
05,Antioquia,05040,Anorí,Cereales,Cereales,Maíz,Maíz blanco tradicional,2025,2025B,Transitorio,"5,00","15,00","11,25","0,75",1010404,5.0,15.0,10.0,3.0
05,Antioquia,05040,Anorí,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2022,2022B,Transitorio,"55,00","70,00","840,00","12,00",1081001,55.0,70.0,15.0,1.2727272727272727
05,Antioquia,05040,Anorí,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2023,2023B,Transitorio,"70,00","95,00","1.140,00","12,00",1081001,70.0,95.0,25.0,1.3571428571428572
05,Antioquia,05040,Anorí,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2024,2024B,Transitorio,"50,00","84,00","1.008,00","12,00",1081001,50.0,84.0,34.0,1.68
05,Antioquia,05040,Anorí,Raíces y tubérculos,Raíces y tubérculos,Yuca,Yuca consumo en fresco,2025,2025B,Transitorio,"50,00","90,00","1.080,00","12,00",1081001,50.0,90.0,40.0,1.8
05,Antioquia,05042,Santa Fé de Antioquia,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022B,Transitorio,"15,00","24,50","34,30","1,40",1060200,15.0,24.5,9.5,1.6333333333333333
05,Antioquia,05042,Santa Fé de Antioquia,Leguminosas,Leguminosas,Frijol,Frijol,2023,2023A,Transitorio,"12,00","15,00","21,00","1,40",1060200,12.0,15.0,3.0,1.25
05,Antioquia,05042,Santa Fé de Antioquia,Leguminosas,Leguminosas,Frijol,Frijol,2023,2023B,Transitorio,"0,00","12,00","16,80","1,40",1060200,0.0,12.0,12.0,inf
05,Antioquia,05042,Santa Fé de Antioquia,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024B,Transitorio,"0,00","12,00","16,80","1,40",1060200,0.0,12.0,12.0,inf
05,Antioquia,05042,Santa Fé de Antioquia,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025B,Transitorio,"0,00","11,50","16,10","1,40",1060200,0.0,11.5,11.5,inf
05,Antioquia,05042,Santa Fé de Antioquia,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"0,00","12,00","14,40","1,20",1010402,0.0,12.0,12.0,inf
05,Antioquia,05042,Santa Fé de Antioquia,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"0,00","12,00","14,40","1,20",1010402,0.0,12.0,12.0,inf
05,Antioquia,05042,Santa Fé de Antioquia,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2025,2025B,Transitorio,"0,00","14,00","16,80","1,20",1010402,0.0,14.0,14.0,inf
05,Antioquia,05042,Santa Fé de Antioquia,Hortalizas,Hortalizas de fruto,Tomate,Tomate invernadero,2024,2024B,Transitorio,"0,00","1,00","50,00","50,00",1052902,0.0,1.0,1.0,inf
05,Antioquia,05044,Anzá,Leguminosas,Leguminosas,Frijol,Frijol,2022,2022A,Transitorio,"12,00","70,00","84,00","1,20",1060200,12.0,70.0,58.0,5.833333333333333
05,Antioquia,05044,Anzá,Leguminosas,Leguminosas,Frijol,Frijol,2023,2023B,Transitorio,"1,00","5,50","5,50","1,00",1060200,1.0,5.5,4.5,5.5
05,Antioquia,05044,Anzá,Leguminosas,Leguminosas,Frijol,Frijol,2024,2024B,Transitorio,"1,00","4,50","4,50","1,00",1060200,1.0,4.5,3.5,4.5
05,Antioquia,05044,Anzá,Leguminosas,Leguminosas,Frijol,Frijol,2025,2025B,Transitorio,"1,00","3,50","3,50","1,00",1060200,1.0,3.5,2.5,3.5
05,Antioquia,05044,Anzá,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2022,2022A,Transitorio,"12,00","28,00","42,00","1,50",1010402,12.0,28.0,16.0,2.3333333333333335
05,Antioquia,05044,Anzá,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2023,2023B,Transitorio,"4,00","20,00","30,00","1,50",1010402,4.0,20.0,16.0,5.0
05,Antioquia,05044,Anzá,Cereales,Cereales,Maíz,Maíz amarillo tradicional,2024,2024B,Transitorio,"4,00","20,00","30,00","1,50",1010402,4.0,20.0,16.0,5.0
