metrica,valor_original,cantidad
Producción,"1.292,00",5
Producción,"1.310,00",5
Producción,"1.314,00",5
Producción,"1.326,50",5
Producción,"1.358,00",5
Producción,"1.390,00",5
Producción,"1.427,50",5
Producción,"1.443,00",5
Producción,"1.462,50",5
Producción,"1.545,00",5
Producción,"1.555,00",5
Producción,"1.558,00",5
Producción,"1.568,00",5
Producción,"1.572,00",5
Producción,"1.576,00",5
Producción,"1.592,00",5
Producción,"1.624,00",5
Producción,"1.648,00",5
Producción,"1.657,50",5
Producción,"1.675,00",5
Producción,"1.806,00",5
Producción,"1.832,00",5
Producción,"1.833,00",5
Producción,"1.912,00",5
Producción,"1.918,00",5
Producción,"1.938,00",5
Producción,"1.955,00",5
Producción,"1.989,00",5
Producción,"10.560,00",5
Producción,"10.680,00",5
Producción,"10.920,00",5
Producción,"11.100,00",5
Producción,"11.518,50",5
Producción,"11.600,00",5
Producción,"11.800,00",5
Producción,"112.500,00",5
Producción,"117.960,00",5
Producción,"12.160,00",5
Producción,"12.375,00",5
Producción,"12.840,00",5
Producción,"13.300,00",5
Producción,"13.860,00",5
Producción,"13.920,00",5
Producción,"14.180,00",5
Producción,"14.600,00",5
Producción,"15.250,00",5
Producción,"17.820,00",5
Producción,"19.920,00",5
Producción,"2.016,00",5
Producción,"2.028,00",5
Producción,"2.052,00",5
Producción,"2.073,60",5
Producción,"2.096,00",5
Producción,"2.124,00",5
Producción,"2.140,00",5
Producción,"2.144,00",5
Producción,"2.170,00",5
Producción,"2.176,00",5
Producción,"2.192,00",5
Producción,"2.226,40",5
Producción,"2.312,00",5
Producción,"2.316,00",5
Producción,"2.328,00",5
Producción,"2.388,00",5
Producción,"2.392,50",5
Producción,"2.415,00",5
Producción,"2.425,00",5
Producción,"2.448,00",5
Producción,"2.457,00",5
Producción,"2.540,00",5
Producción,"2.740,00",5
Producción,"2.765,00",5
Producción,"2.870,00",5
Producción,"2.875,00",5
Producción,"2.928,00",5
Producción,"2.950,00",5
Producción,"20.860,00",5
Producción,"21.712,50",5
Producción,"22.800,00",5
Producción,"23.500,00",5
Producción,"24.400,00",5
Producción,"24.412,20",5
Producción,"27.286,50",5
Producción,"27.720,00",5
Producción,"3.048,00",5
Producción,"3.105,00",5
Producción,"3.144,00",5
Producción,"3.175,00",5
Producción,"3.180,00",5
Producción,"3.184,00",5
Producción,"3.219,00",5
Producción,"3.290,00",5
Producción,"3.320,00",5
Producción,"3.325,00",5
Producción,"3.350,00",5
Producción,"3.447,50",5
Producción,"3.525,00",5
Producción,"3.550,00",5
Producción,"3.552,00",5
Producción,"3.675,00",5
Producción,"3.752,00",5
Producción,"3.872,00",5
Producción,"3.885,00",5
Producción,"3.910,00",5
Producción,"3.915,00",5
Producción,"3.916,00",5
Producción,"30.240,00",5
Producción,"32.000,00",5
Producción,"32.640,00",5
Producción,"36.000,00",5
Producción,"4.040,00",5
Producción,"4.046,00",5
Producción,"4.120,00",5
Producción,"4.260,00",5
Producción,"4.270,00",5
Producción,"4.545,00",5
Producción,"4.554,00",5
Producción,"4.585,00",5
Producción,"4.632,00",5
Producción,"4.648,50",5
Producción,"4.696,00",5
Producción,"4.710,00",5
Producción,"4.720,00",5
Producción,"4.745,00",5
Producción,"4.752,00",5
Producción,"4.872,00",5
Producción,"4.880,00",5
Producción,"4.920,00",5
Producción,"44.100,00",5
Producción,"5.049,00",5
Producción,"5.050,00",5
Producción,"5.060,00",5
Producción,"5.110,00",5
Producción,"5.175,00",5
Producción,"5.330,00",5
Producción,"5.355,00",5
Producción,"5.480,00",5
Producción,"5.496,00",5
Producción,"5.550,00",5
Producción,"5.750,00",5
Producción,"5.920,00",5
Producción,"58.000,00",5
Producción,"6.090,00",5
Producción,"6.210,00",5
Producción,"6.540,00",5
Producción,"6.552,00",5
Producción,"6.670,00",5
Producción,"6.875,00",5
Producción,"67.500,00",5
Producción,"7.060,00",5
Producción,"7.100,00",5
Producción,"7.250,00",5
Producción,"7.280,00",5
Producción,"7.608,00",5
Producción,"7.620,00",5
Producción,"7.740,00",5
Producción,"7.820,00",5
Producción,"7.840,00",5
Producción,"7.920,00",5
Producción,"8.190,00",5
Producción,"8.280,00",5
Producción,"8.520,00",5
Producción,"8.580,00",5
Producción,"8.850,00",5
Producción,"9.375,00",5
Producción,"9.720,00",5
Producción,"9.870,00",5
Producción,"1.000,50",4
Producción,"1.016.070,00",4
Producción,"1.037,60",4
Producción,"1.048,00",4
Producción,"1.067,00",4
Producción,"1.072,00",4
Producción,"1.087,50",4
Producción,"1.102,50",4
Producción,"1.113,00",4
Producción,"1.122,20",4
Producción,"1.144,50",4
Producción,"1.146,00",4
Producción,"1.173,00",4
Producción,"1.178,00",4
Producción,"1.194,00",4
Producción,"1.200,85",4
Producción,"1.208,00",4
Producción,"1.209,00",4
Producción,"1.239,00",4
Producción,"1.245,00",4
Producción,"1.251,00",4
Producción,"1.252,80",4
Producción,"1.253,00",4
Producción,"1.267,50",4
Producción,"1.269,00",4
Producción,"1.281,00",4
Producción,"1.284,00",4
Producción,"1.285,20",4
Producción,"1.304,00",4
Producción,"1.310,40",4
Producción,"1.311,50",4
Producción,"1.314,40",4
Producción,"1.323,00",4
Producción,"1.335,00",4
Producción,"1.338,00",4
Producción,"1.370,00",4
Producción,"1.397,50",4
Producción,"1.412,50",4
Producción,"1.419,00",4
Producción,"1.463.840,00",4
Producción,"1.468,25",4
Producción,"1.482,00",4
Producción,"1.495,00",4
Producción,"1.498,50",4
Producción,"1.524,78",4
Producción,"1.544,00",4
Producción,"1.553,79",4
Producción,"1.596,30",4
Producción,"1.602,00",4
Producción,"1.616,00",4
Producción,"1.636,80",4
Producción,"1.649,00",4
Producción,"1.652,00",4
Producción,"1.658,00",4
Producción,"1.670,00",4
Producción,"1.683,00",4
Producción,"1.694,00",4
Producción,"1.696,00",4
Producción,"1.705,00",4
Producción,"1.734,00",4
Producción,"1.738,00",4
Producción,"1.742,00",4
Producción,"1.769,00",4
Producción,"1.771,00",4
Producción,"1.777,50",4
Producción,"1.802,00",4
Producción,"1.808,00",4
Producción,"1.812,00",4
Producción,"1.818,00",4
Producción,"1.854,00",4
Producción,"1.876,00",4
Producción,"1.877,00",4
Producción,"1.884,00",4
Producción,"1.886,00",4
Producción,"1.900,50",4
Producción,"1.923,00",4
Producción,"1.924,00",4
Producción,"1.930,00",4
Producción,"1.936,00",4
Producción,"1.962,00",4
Producción,"1.963,36",4
Producción,"1.965,00",4
Producción,"1.970,00",4
Producción,"1.977,50",4
Producción,"1.984,00",4
Producción,"1.988,00",4
Producción,"10.056,00",4
Producción,"10.122,00",4
Producción,"10.260,00",4
Producción,"10.480,00",4
Producción,"10.750,00",4
Producción,"11.050,00",4
Producción,"11.115,00",4
Producción,"11.550,00",4
Producción,"11.940,00",4
Producción,"12.028,20",4
Producción,"12.082,00",4
Producción,"12.300,00",4
Producción,"12.330,00",4
Producción,"12.390,00",4
Producción,"12.560,00",4
Producción,"12.900,00",4
Producción,"13.109,60",4
Producción,"13.280,00",4
Producción,"13.400,00",4
Producción,"13.650,00",4
Producción,"14.160,00",4
Producción,"14.280,00",4
Producción,"14.300,00",4
